ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
00601,72,001,956300,72001956300,4271,1706,44663250,44572589,18570,7744,167459085,166659789,4336,1735,44924558,44833897,23,22.03,26.67,26.74,98.5,98.33,99.42,99.42
00601,72,001,956400,72001956400,2384,1037,32830481,32492074,18570,7744,167459085,166659789,2995,1294,37782601,37191697,12.84,13.39,19.61,19.5,79.6,80.14,86.89,87.36
00601,72,001,956500,72001956500,3126,1240,44969548,44809680,18570,7744,167459085,166659789,3126,1240,44969548,44809680,16.83,16.01,26.85,26.89,100,100,100,100
00601,72,001,956600,72001956600,2329,972,1981101,1981101,18570,7744,167459085,166659789,2329,972,1981101,1981101,12.54,12.55,1.18,1.19,100,100,100,100
00601,72,001,956700,72001956700,2053,948,1380041,1380041,18570,7744,167459085,166659789,2053,948,1380041,1380041,11.06,12.24,.82,.83,100,100,100,100
00601,72,001,956800,72001956800,4302,1792,39308250,39097890,18570,7744,167459085,166659789,4644,1936,42739595,42529235,23.17,23.14,23.47,23.46,92.64,92.56,91.97,91.93
00601,72,141,957600,72141957600,105,49,2326414,2326414,18570,7744,167459085,166659789,3858,1634,47786729,47552717,.57,.63,1.39,1.4,2.72,3,4.87,4.89
00602,72,003,430100,72003430100,4983,2099,15069841,14033811,41520,18073,83734431,79288158,4983,2099,15069841,14033811,12,11.61,18,17.7,100,100,100,100
00602,72,003,430200,72003430200,5388,2522,7339081,6045445,41520,18073,83734431,79288158,5388,2522,7339081,6045445,12.98,13.95,8.76,7.62,100,100,100,100
00602,72,003,430300,72003430300,2646,1374,2597498,1801611,41520,18073,83734431,79288158,2646,1374,2597498,1801611,6.37,7.6,3.1,2.27,100,100,100,100
00602,72,003,430401,72003430401,4907,2068,6332497,6332497,41520,18073,83734431,79288158,4907,2068,6332497,6332497,11.82,11.44,7.56,7.99,100,100,100,100
00602,72,003,430402,72003430402,4799,1861,11412069,11411651,41520,18073,83734431,79288158,5166,2010,11896284,11895866,11.56,10.3,13.63,14.39,92.9,92.59,95.93,95.93
00602,72,003,430501,72003430501,6122,2515,11032505,11032505,41520,18073,83734431,79288158,6122,2515,11032505,11032505,14.74,13.92,13.18,13.91,100,100,100,100
00602,72,003,430502,72003430502,4840,2055,10564492,10563209,41520,18073,83734431,79288158,4840,2055,10564492,10563209,11.66,11.37,12.62,13.32,100,100,100,100
00602,72,003,430601,72003430601,4458,1988,9892233,9892233,41520,18073,83734431,79288158,4530,2024,10024106,10024106,10.74,11,11.81,12.48,98.41,98.22,98.68,98.68
00602,72,003,430602,72003430602,3377,1591,9494215,8175196,41520,18073,83734431,79288158,3377,1591,9494215,8175196,8.13,8.8,11.34,10.31,100,100,100,100
00603,72,005,400100,72005400100,880,401,2613037,2612327,54689,25653,82063867,81880442,5593,2528,8314993,7869646,1.61,1.56,3.18,3.19,15.73,15.86,31.43,33.19
00603,72,005,400300,72005400300,3682,1793,4895915,4894696,54689,25653,82063867,81880442,3687,1797,11786830,10331549,6.73,6.99,5.97,5.98,99.86,99.78,41.54,47.38
00603,72,005,400400,72005400400,4519,1939,6477026,6476598,54689,25653,82063867,81880442,4519,1939,9193718,6476598,8.26,7.56,7.89,7.91,100,100,70.45,100
00603,72,005,400501,72005400501,3614,1656,3764347,3753787,54689,25653,82063867,81880442,3614,1656,3764347,3753787,6.61,6.46,4.59,4.58,100,100,100,100
00603,72,005,400502,72005400502,6064,2544,5013466,5005173,54689,25653,82063867,81880442,6064,2544,5013466,5005173,11.09,9.92,6.11,6.11,100,100,100,100
00603,72,005,400600,72005400600,2869,1364,1115267,1114391,54689,25653,82063867,81880442,2869,1364,1115267,1114391,5.25,5.32,1.36,1.36,100,100,100,100
00603,72,005,400700,72005400700,2896,1517,2134462,2134462,54689,25653,82063867,81880442,2896,1517,2621222,2134462,5.3,5.91,2.6,2.61,100,100,81.43,100
00603,72,005,400800,72005400800,1846,1418,378848,378848,54689,25653,82063867,81880442,1846,1418,852253,378848,3.38,5.53,.46,.46,100,100,44.45,100
00603,72,005,400900,72005400900,2357,1231,1139206,1139206,54689,25653,82063867,81880442,2357,1231,1139206,1139206,4.31,4.8,1.39,1.39,100,100,100,100
00603,72,005,401000,72005401000,1781,1169,571221,571221,54689,25653,82063867,81880442,1781,1169,1056589,571221,3.26,4.56,.7,.7,100,100,54.06,100
00603,72,005,401100,72005401100,1520,756,1048711,1027448,54689,25653,82063867,81880442,1520,756,1088969,1027448,2.78,2.95,1.28,1.25,100,100,96.3,100
00603,72,005,401200,72005401200,4143,1863,17043819,16996523,54689,25653,82063867,81880442,4143,1863,17043819,16996523,7.58,7.26,20.77,20.76,100,100,100,100
00603,72,005,401301,72005401301,4428,2025,2254363,2254363,54689,25653,82063867,81880442,4428,2025,2254363,2254363,8.1,7.89,2.75,2.75,100,100,100,100
00603,72,005,401302,72005401302,4725,2176,16133918,16081911,54689,25653,82063867,81880442,6267,2822,18173367,18115938,8.64,8.48,19.66,19.64,75.39,77.11,88.78,88.77
00603,72,005,401401,72005401401,4479,1677,6829771,6792959,54689,25653,82063867,81880442,4479,1677,6829771,6792959,8.19,6.54,8.32,8.3,100,100,100,100
00603,72,005,401402,72005401402,4886,2124,10650490,10646529,54689,25653,82063867,81880442,4886,2124,10650490,10646529,8.93,8.28,12.98,13,100,100,100,100
00606,72,093,960100,72093960100,4195,1777,84484076,84471589,6615,2877,109592548,109580061,4195,1777,84484076,84471589,63.42,61.77,77.09,77.09,100,100,100,100
00606,72,093,960200,72093960200,2081,963,10380273,10380273,6615,2877,109592548,109580061,2081,963,10380273,10380273,31.46,33.47,9.47,9.47,100,100,100,100
00606,72,121,960300,72121960300,89,38,6679806,6679806,6615,2877,109592548,109580061,6456,2737,54167809,54166559,1.35,1.32,6.1,6.1,1.38,1.39,12.33,12.33
00606,72,153,750201,72153750201,250,99,8048393,8048393,6615,2877,109592548,109580061,3575,1577,52210630,50936643,3.78,3.44,7.34,7.34,6.99,6.28,15.42,15.8
00610,72,003,430402,72003430402,160,62,237185,237185,29016,12618,97193468,93021467,5166,2010,11896284,11895866,.55,.49,.24,.25,3.1,3.08,1.99,1.99
00610,72,011,810100,72011810100,3453,1450,41110944,40743913,29016,12618,97193468,93021467,3563,1502,44734925,44288153,11.9,11.49,42.3,43.8,96.91,96.54,91.9,92
00610,72,011,810200,72011810200,7423,3020,16498933,16439145,29016,12618,97193468,93021467,7707,3162,20605558,20500090,25.58,23.93,16.98,17.67,96.32,95.51,80.07,80.19
00610,72,011,810300,72011810300,2338,987,781860,781860,29016,12618,97193468,93021467,2338,987,781860,781860,8.06,7.82,.8,.84,100,100,100,100
00610,72,011,810400,72011810400,1310,806,631916,631916,29016,12618,97193468,93021467,1310,806,631916,631916,4.51,6.39,.65,.68,100,100,100,100
00610,72,011,810500,72011810500,5968,2544,10534845,10498415,29016,12618,97193468,93021467,5979,2549,11966468,11856731,20.57,20.16,10.84,11.29,99.82,99.8,88.04,88.54
00610,72,011,810600,72011810600,4750,1933,14661460,14349056,29016,12618,97193468,93021467,4750,1933,14661460,14349056,16.37,15.32,15.08,15.43,100,100,100,100
00610,72,011,810700,72011810700,3614,1816,12736325,9339977,29016,12618,97193468,93021467,3614,1816,12736325,9339977,12.46,14.39,13.1,10.04,100,100,100,100
00612,72,013,300101,72013300101,3112,1304,3665418,3665418,67010,30992,184915406,175106243,5178,2159,18328910,18220738,4.64,4.21,1.98,2.09,60.1,60.4,20,20.12
00612,72,013,300102,72013300102,2607,1163,2408837,2408837,67010,30992,184915406,175106243,5256,2255,11173460,11172562,3.89,3.75,1.3,1.38,49.6,51.57,21.56,21.56
00612,72,013,300200,72013300200,3800,1907,22604121,18017302,67010,30992,184915406,175106243,3800,1907,22604121,18017302,5.67,6.15,12.22,10.29,100,100,100,100
00612,72,013,300301,72013300301,138,62,149246,149246,67010,30992,184915406,175106243,3153,1487,5666001,5619446,.21,.2,.08,.09,4.38,4.17,2.63,2.66
00612,72,013,300302,72013300302,5285,2353,8868574,8864001,67010,30992,184915406,175106243,5285,2353,18960079,18758137,7.89,7.59,4.8,5.06,100,100,46.77,47.25
00612,72,013,300400,72013300400,1991,990,3077304,1523457,67010,30992,184915406,175106243,1991,990,4785215,1890912,2.97,3.19,1.66,.87,100,100,64.31,80.57
00612,72,013,300500,72013300500,1252,845,538350,534054,67010,30992,184915406,175106243,1252,845,980140,534054,1.87,2.73,.29,.3,100,100,54.93,100
00612,72,013,300700,72013300700,1338,938,1387250,809905,67010,30992,184915406,175106243,1338,938,2171351,809905,2,3.03,.75,.46,100,100,63.89,100
