"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,,"QUEENS",,,,,"2026.1","In Compliance ","1","155000","20","336.8",,,"Not Available",,"4160830037","Multifamily Housing","2830985","4303321","312100","None","115.1","146","BEACH 70 STREET     ","71","2362.9","Not Available","Not Available","11692"
"Yes","Yes",,,"QUEENS",,,,,"379.8","In Compliance ","1","184400","100","54.8",,,"0.05",,"4002520018","Office","2858535","4003447","390400","ABS","14.8","18.6","  47 AVENUE         ","    32-36","434.6","12","15.5","11101"
"No","Yes",,,"BROOKLYN            ",,,,,"197.4","In Compliance ","1","58506","9","189.6",,,"52.15",,"3009747504","Multifamily Housing","2804445","3392416","58676","Manual","102.3","188.8","2 AVENUE            ","302","387","101.9","187.6","11215"
"Yes","Yes",,,"QUEENS",,,,,"214.9","In Compliance ","1","100800","Not Available","75",,,"39.6",,"4032937501","Multifamily Housing","2805372","4308252","110880","ABS","44.6","63.9","73 ROAD             ","110","289.9","42.9","62","11375"
"Yes","Yes",,,"QUEENS",,,,,"24.8","In Compliance ","1","56000","95","83",,,"6.03",,"4000540006","Worship Facility","2664866","4000460","56777","ABS","25.8","64","  45 ROAD           ","    11-36","107.7","24.7","62.8","11101"
"Yes","Yes",,,"QUEENS",,,,,"352.5","In Compliance ","1","92000","Not Available","95.6",,,"81.53",,"4096490053","Multifamily Housing","2669439","4206516","87020","ABS","89.5","121.7","MANTON STREET       ","    85-02","448.2","87","118.8","11435"
"Yes","Yes",,,"QUEENS",,,,,"258","In Compliance ","1","52080","57","59",,,"Not Available",,"4030780103","Multifamily Housing","2726160","4072035","57288","None","97.2","128","QUEENS BOULEVARD    ","    93-40","317","93","123.6","11374"
"No","Yes",,,"QUEENS",,,,,"580.7","In Compliance ","1","87376","50","116",,,"Not Available",,"4008460042","Multifamily Housing","2726090","4017708","88000","None","105.2","140.3","  31 STREET         ","    21-24","696.8","100","135","11105"
"Yes","Yes",,,"QUEENS",,,,,"304.8","In Compliance ","1","84018","78","81.1",,,"49.13",,"4030790100","Multifamily Housing","2794380","4072064;4832088","89971","ABS","74.6","101.1","SAUNDERS STREET     ","    62-98","385.9","71.3","97.5","11374"
"Yes","Yes",,,"QUEENS",,,,,"442.1","In Compliance ","1","112800","43","141.6",,,"60.79",,"4031610001","Multifamily Housing","2809067","Not Available","112800","Manual","88.9","125","FLEET STREET        ","    66-22","583.7","85.8","121.7","11375"
"No","Yes",,,"QUEENS",,,,,"21.3","In Compliance ","1","57834","93","107.5",,,"Not Available",,"4043620024","Office","2814689","4464064","56000","None","30.3","80.2","WHITESTONE EP SR W  ","    30-56","128.8","29.4","79.5","11357"
"Yes","Yes",,,"BRONX               ",,,,,"1070.5","In Compliance ","1","197406","5","312.1",,,"Not Available",,"2032520209","Multifamily Housing","2817011","2015473","179531","None","126.9","176.5","GOUVERNEUR AVENUE   ","80","1382.6","123.2","172.2","10463"
"Yes","Yes",,,"QUEENS",,,,,"320.5","In Compliance ","1","72000","48","63.1",,,"Not Available",,"4001940007","Multifamily Housing","2897082","4002593","72000","None","94.4","121.2","  39 PLACE          ","    45-41","383.6","94.4","121.2","11104"
"No","Yes",,,"QUEENS",,,,,"0","In Compliance ","1","79000","100","6",,,"Not Available",,"4026110104","Non-Refrigerated Warehouse","3118087","4445984","80000","None","0.9","2.8","GRAND AVENUE        ","    47-10","6","0.9","2.8","11378"
"No","Yes",,,"QUEENS",,,,,"579.7","In Compliance ","1","145112","9","187.7",,,"Not Available",,"4031670028","Multifamily Housing","4039211","4075055","112460","None","117.2","165.1","BOOTH STREET        ","    67-76","767.3","112.7","160.4","11375"
"Yes","Yes",,,"QUEENS",,,,,"0","In Compliance ","1","97260","Not Available","129.1",,,"39.15",,"4012680013","Multifamily Housing","4040465","4029197","100177","ABS","15.5","48.8","  82 STREET         ","    34-24","129.1","15.6","49.1","11372"
"Yes","Yes",,,"QUEENS",,,,,"22.3","In Compliance ","1","62545","70","215.4",,,"Not Available",,"4041480080","Office","4352693","4099030","63110","None","47.8","136.2","WHITESTONE EP SR W  ","    17-20","237.6","46.3","134.1","11357"
"Yes","Yes",,,"QUEENS",,,,,"670.8","In Compliance ","1","166600","Not Available","197.3",,,"64",,"4051230061","Multifamily Housing","4410434","4115413","179824","ABS","83.5","115.3","MAIN STREET         ","    42-60","868.1","79.8","111.5","11355"
"Yes","Yes",,,"QUEENS",,,,,"295.8","In Compliance ","1","114780","74","250.7",,,"141.71",,"4097110075","Multifamily Housing","4412512","4207707","124600","ABS","56.6","108.9","  85 DRIVE          ","   139-79","546.5","56.5","108.5","11435"
"Yes","Yes",,,"QUEENS",,,,,"711.6","In Compliance ","4","176000","98","55.3",,,"106.37",,"4012490018","Multifamily Housing","3115691","4431303","190666","ABS","73.8","84.8","  77 STREET         ","    33-24","767","Not Available","Not Available","11372"
