,name,boro,zip,link,state,latlng,lat,lng
0,Crown Heights Homeless Shelter,Brooklyn,11213,https://www.shelterlistings.org/details/38883/,NY,"40.6761750,-73.9464310",40.6761750,-73.9464310
1,Help Usa - Help Genesis Homes,Brooklyn,11207,https://www.shelterlistings.org/details/21184/,NY,"40.6669723,-73.8994285",40.6669723,-73.8994285
2,"Brooklyn Community Housing And Services, Inc. Brooklyn",Brooklyn,11201,https://www.shelterlistings.org/details/22876/,NY,"40.6973327,-73.9860515",40.6973327,-73.9860515
3,"St. John's Bread And Life Program, Inc. Brooklyn",Brooklyn,11221,https://www.shelterlistings.org/details/24667/,NY,"40.6902130,-73.9290470",40.6902130,-73.9290470
4,Brooklyn Shelter 400 McGuinness,Brooklyn,11222,https://www.shelterlistings.org/details/38611/,NY,"40.7366808,-73.9524520",40.7366808,-73.9524520
5,CAMBA Atlantic House Men's Shelter,Brooklyn,11233,https://www.shelterlistings.org/details/38610/,NY,"40.6760084,-73.9053226",40.6760084,-73.9053226
6,Covenant House New York - Brooklyn Community Resource Center,Brooklyn,11206,https://www.shelterlistings.org/details/20190/,NY,"40.6948637,-73.9372983",40.6948637,-73.9372983
7,CAMBA,Brooklyn,11226,https://www.shelterlistings.org/details/27387/,NY,"40.6504241,-73.9587385",40.6504241,-73.9587385
8,Brooklyn Community Housing And Services Brooklyn,Brooklyn,11205,https://www.shelterlistings.org/details/29939/,NY,"40.6945794,-73.9730295",40.6945794,-73.9730295
9,Peter Young Residence Homeless Shelter,Brooklyn,11220,https://www.shelterlistings.org/details/36631/,NY,"40.6385229,-74.0153231",40.6385229,-74.0153231
10,Help Usa - Help New Horizons,Brooklyn,11212,https://www.shelterlistings.org/details/21186/,NY,"40.6664359,-73.9138398",40.6664359,-73.9138398
11,BRC Transitional housing,Brooklyn,11225,https://www.shelterlistings.org/details/36689/,NY,"40.6620111,-74.0005559",40.6620111,-74.0005559
12,Key Enterprise Brooklyn,Brooklyn,11236,https://www.shelterlistings.org/details/31025/,NY,"40.6440770,-73.8987410",40.6440770,-73.8987410
13,Agapi Fellowship International Inc. Outpost Brooklyn,Brooklyn,11208,https://www.shelterlistings.org/details/31008/,NY,"40.6727860,-73.8964650",40.6727860,-73.8964650
14,African American Planning Commission Brooklyn,Brooklyn,11233,https://www.shelterlistings.org/details/30618/,NY,"40.6848175,-73.9151458",40.6848175,-73.9151458
15,Bridge Back Recovery Homes Brooklyn,Brooklyn,11220,https://www.shelterlistings.org/details/30221/,NY,"40.6336739,-74.0209078",40.6336739,-74.0209078
16,Kianga House Housing Development Fund Company Brooklyn,Brooklyn,11213,https://www.shelterlistings.org/details/30123/,NY,"40.6704726,-73.9292065",40.6704726,-73.9292065
17,Turning Point Housing Development Fund Corporation Brooklyn,Brooklyn,11220,https://www.shelterlistings.org/details/30080/,NY,"40.6450485,-74.0143424",40.6450485,-74.0143424
18,St Johns Place Family Center Housing Development Fund Corporati Brooklyn,Brooklyn,11233,https://www.shelterlistings.org/details/30041/,NY,"40.6698910,-73.9236899",40.6698910,-73.9236899
19,Housing Works Brooklyn,Brooklyn,11201,https://www.shelterlistings.org/details/29927/,NY,"40.6923254,-73.9865697",40.6923254,-73.9865697
20,Transitional Housing Empowerment And Referral Services Brooklyn,Brooklyn,11201,https://www.shelterlistings.org/details/29860/,NY,"40.6947270,-73.9807007",40.6947270,-73.9807007
22,Brooklyn Homeless Housing Development Corporation Brooklyn,Brooklyn,11239,https://www.shelterlistings.org/details/23171/,NY,"40.6530831,-73.8819911",40.6530831,-73.8819911
