BEDS CODE,School Name,County,School Type,Homeless Students,Borough,Zipcode,Latitude,Longitude
310100861031,manhattan charter school ii,new york,charter school,32,manhattan,10002,40.713378,-73.986216
310200860819,john v lindsay wildcat acad charter,new york,charter school,35,manhattan,10004,40.705531,-74.015977
310200860992,broome st academy charter high schoo,new york,charter school,40,manhattan,10013,40.72412,-74.005143
310300860804,sisulu-walker charter school,new york,charter school,43,manhattan,10026,40.802098,-73.951359
310300860871,opportunity charter school,new york,charter school,35,manhattan,10026,40.801583,-73.955494
310300860897,success academy charter-harlem 1,new york,charter school,59,manhattan,10026,40.802666,-73.948151
310300860923,success acad charter sch-harlem 4,new york,charter school,50,manhattan,10026,40.801583,-73.955494
310300860963,ny french-american charter school,new york,charter school,29,manhattan,10027,40.807528,-73.954232
310300861008,success acad charter sch-upper west,new york,charter school,23,manhattan,10024,40.785965,-73.97405
310300861034,harlem hebrew language academy,new york,charter school,30,manhattan,10026,40.804764,-73.953054
310400860806,amber charter school,new york,charter school,30,manhattan,10029,40.790925,-73.943916
310400860812,harbor sci & arts charter school,new york,charter school,28,manhattan,10029,40.795433,-73.944465
310400860840,harlem prep charter school,new york,charter school,60,manhattan,10035,40.80153,-73.935285
310400860849,harlem village academy leadership,new york,charter school,87,manhattan,10035,40.79922,-73.933721
310400860919,dream charter school,new york,charter school,40,manhattan,10029,40.788931,-73.945397
310400860922,success acad charter sch-harlem 3,new york,charter school,60,manhattan,10029,40.79601,-73.944567
310400860968,renaissance charter hs-innovation,new york,charter school,39,manhattan,10029,40.785119,-73.942246
310400860995,east harlem scholars acad charter,new york,charter school,40,manhattan,10029,40.790145,-73.94246
310400861061,ny center for autism charter school,new york,charter school,3,manhattan,10029,40.785632,-73.940974
310500860864,harlem children's zone promise,new york,charter school,112,manhattan,10027,40.812562,-73.948169
310500860883,kipp infinity charter school,new york,charter school,96,manhattan,10031,40.819392,-73.95649
310500860886,harlem chldrn zone academy ii,new york,charter school,86,manhattan,10035,40.806204,-73.941017
310500860921,success acad charter sch-harlem 2,new york,charter school,58,manhattan,10035,40.805682,-73.935404
310500860979,success acad charter school-harlem 5,new york,charter school,40,manhattan,10030,40.820175,-73.944466
310500860989,democracy prep harlem charter school,new york,charter school,74,manhattan,10030,40.814549,-73.945013
310500861012,global community charter school,new york,charter school,50,manhattan,10037,40.816973,-73.934899
310500861015,neighborhood charter school of harle,new york,charter school,41,manhattan,10027,40.807468,-73.94741
310600860887,new heights academy charter school,new york,charter school,62,manhattan,10031,40.828843,-73.945379
310600860966,inwood acad for leadership charter,new york,charter school,56,manhattan,10034,40.869027,-73.921019
310600861073,success academy cs - washington hgts,new york,charter school,31,manhattan,10040,40.858131,-73.935613
320700860703,heketi community charter school,bronx,charter school,23,bronx,10454,40.809307,-73.909798
320700860852,bronx charter school for children,bronx,charter school,38,bronx,10454,40.812577,-73.919959
320700860889,south bronx charter school,bronx,charter school,67,bronx,10454,40.802905,-73.91776
320700860915,bglig-shirley rodriguez-remeneski cs,bronx,charter school,37,bronx,10451,40.823004,-73.92284
320700860920,university prep charter high school,bronx,charter school,20,bronx,10455,40.814736,-73.91205
320700860925,mott haven academy charter school,bronx,charter school,59,bronx,10454,40.806312,-73.920885
320700860926,nyc charter hs - aeci,bronx,charter school,17,bronx,10451,40.821847,-73.910524
320700860957,academic leadership charter school,bronx,charter school,41,bronx,10454,40.807719,-73.912797
320700860981,success academy charter-bronx 1,bronx,charter school,33,bronx,10451,40.81372,-73.925919
320700861005,nyc montessori charter school,bronx,charter school,35,bronx,10454,40.808926,-73.921703
320700861014,brilla college prep charter,bronx,charter school,38,manhattan,10454,40.81277,-73.919341
320700861028,family life academy charter sch ii,bronx,charter school,33,bronx,10454,40.811483,-73.92512
320700861062,american dream charter school,bronx,charter school,18,bronx,10454,40.809125,-73.91759
320700861068,south bronx early college academy cs,bronx,charter school,9,bronx,10452,40.836325,-73.919134
320700861070,family life academy charter sch iii,bronx,charter school,24,bronx,10451,40.816247,-73.929941
320700861080,storefront academy charter school,bronx,charter school,12,bronx,10451,40.81381,-73.930147
