,name,boro,zip,link,state,Unnamed: 5,Unnamed: 6
0,Center Against Domestic Violence,Brooklyn,11201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7259,NY,"25 Chapel Street Suite 904
Brooklyn, NY 11201","40.6973327,-73.9882402"
1,Tillary Street Women's Shelter,Brooklyn,11201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9977,NY,"200 Tillary Street
Brooklyn, NY 11201","40.6956306,-73.984361"
2,Bowery Mission,New York City,10002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7201,NY,"227 Bowery
New York City, NY 10002","40.7219805,-73.995036"
3,New York City Rescue Mission,New York City,10013,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7807,NY,"90 Lafayette Street
New York City, NY 10013","40.7175399,-74.0038098"
4,3rd Street Men's Shelter,New York,10003,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15019,NY,"8 East 3rd Street
New York, NY 10003","40.7258632,-73.9931951"
5,Shelter and Food for the Homeless Inc.,New York City,10009,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8032,NY,"602 E 9th Street
New York City, NY 10009","40.7260303,-73.9823441"
6,One Step Forward Shelter Place,New York ,10013,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14995,NY,"123 Ave Of the Americans
New York , NY 10013","40.7239312,-74.0068636"
7,Gates Avenue Center for Opportunity,Brooklyn,11216,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11820,NY,"520 Gates Avenue
Brooklyn, NY 11216","40.6866018,-73.9472637"
8,Homes for the Homeless,New York City,10003,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7603,NY,"36 Cooper Square 6th Floor
New York City, NY 10003","40.7283402,-73.9937861"
9,Providence House For Pregnant Women And Children,Brooklyn,11221,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10977,NY,"703 Lexington Avenue
Brooklyn, NY 11221","40.6899689,-73.9349263"
