,Station_Longitude,Station_Name,Station_Latitude,lonlat,ZIPCODE
0,-73.91203399999999,Ditmars Blvd,40.775036,"(-73.912033999999991, 40.775036)",11105
1,-73.91203399999999,Ditmars Blvd,40.775036,"(-73.912033999999991, 40.775036)",11105
2,-73.91203399999999,Ditmars Blvd,40.775036,"(-73.912033999999991, 40.775036)",11105
3,-73.91203399999999,Ditmars Blvd,40.775036,"(-73.912033999999991, 40.775036)",11105
4,-73.917843,Astoria Blvd-Hoyt Av,40.770258,"(-73.917843000000005, 40.770257999999998)",11103
5,-73.917843,Astoria Blvd-Hoyt Av,40.770258,"(-73.917843000000005, 40.770257999999998)",11103
6,-73.917843,Astoria Blvd-Hoyt Av,40.770258,"(-73.917843000000005, 40.770257999999998)",11103
7,-73.917843,Astoria Blvd-Hoyt Av,40.770258,"(-73.917843000000005, 40.770257999999998)",11103
647,-73.913333,46th St,40.756312,"(-73.913332999999994, 40.756312000000001)",11103
648,-73.92074000000001,Steinway St,40.756879,"(-73.920740000000009, 40.756878999999998)",11103
649,-73.92074000000001,Steinway St,40.756879,"(-73.920740000000009, 40.756878999999998)",11103
1479,-73.913333,46th St,40.756312,"(-73.913332999999994, 40.756312000000001)",11103
1480,-73.913333,46th St,40.756312,"(-73.913332999999994, 40.756312000000001)",11103
1481,-73.913333,46th St,40.756312,"(-73.913332999999994, 40.756312000000001)",11103
1482,-73.92074000000001,Steinway St,40.756879,"(-73.920740000000009, 40.756878999999998)",11103
1483,-73.92074000000001,Steinway St,40.756879,"(-73.920740000000009, 40.756878999999998)",11103
8,-73.921479,30 Av-Grand Av,40.766779,"(-73.921479000000005, 40.766779)",11102
9,-73.921479,30 Av-Grand Av,40.766779,"(-73.921479000000005, 40.766779)",11102
10,-73.921479,30 Av-Grand Av,40.766779,"(-73.921479000000005, 40.766779)",11102
11,-73.921479,30 Av-Grand Av,40.766779,"(-73.921479000000005, 40.766779)",11102
12,-73.925508,Broadway,40.76182,"(-73.925507999999994, 40.76182)",11106
13,-73.925508,Broadway,40.76182,"(-73.925507999999994, 40.76182)",11106
14,-73.925508,Broadway,40.76182,"(-73.925507999999994, 40.76182)",11106
15,-73.929575,36 Av-Washington Av,40.756803999999995,"(-73.929575, 40.756803999999995)",11106
16,-73.929575,36 Av-Washington Av,40.756803999999995,"(-73.929575, 40.756803999999995)",11106
17,-73.929575,36 Av-Washington Av,40.756803999999995,"(-73.929575, 40.756803999999995)",11106
18,-73.932755,39 Av-Beebe Av,40.752882,"(-73.932755, 40.752882)",11101
19,-73.932755,39 Av-Beebe Av,40.752882,"(-73.932755, 40.752882)",11101
497,-73.942836,21st St,40.754203000000004,"(-73.942836, 40.754203000000004)",11101
498,-73.942836,21st St,40.754203000000004,"(-73.942836, 40.754203000000004)",11101
499,-73.942836,21st St,40.754203000000004,"(-73.942836, 40.754203000000004)",11101
500,-73.942836,21st St,40.754203000000004,"(-73.942836, 40.754203000000004)",11101
501,-73.942836,21st St,40.754203000000004,"(-73.942836, 40.754203000000004)",11101
650,-73.928781,36th St,40.752039,"(-73.928781000000001, 40.752039000000003)",11101
651,-73.928781,36th St,40.752039,"(-73.928781000000001, 40.752039000000003)",11101
652,-73.93724300000001,Queens Plaza,40.748973,"(-73.937243000000009, 40.748972999999999)",11101
653,-73.93724300000001,Queens Plaza,40.748973,"(-73.937243000000009, 40.748972999999999)",11101
654,-73.93724300000001,Queens Plaza,40.748973,"(-73.937243000000009, 40.748972999999999)",11101
655,-73.93724300000001,Queens Plaza,40.748973,"(-73.937243000000009, 40.748972999999999)",11101
656,-73.93724300000001,Queens Plaza,40.748973,"(-73.937243000000009, 40.748972999999999)",11101
657,-73.946,23rd St-Ely Av,40.747846,"(-73.945999999999998, 40.747846000000003)",11101
658,-73.946,23rd St-Ely Av,40.747846,"(-73.945999999999998, 40.747846000000003)",11101
659,-73.946,23rd St-Ely Av,40.747846,"(-73.945999999999998, 40.747846000000003)",11101
681,-73.943832,Long Island City-Court Square,40.746553999999996,"(-73.943832, 40.746553999999996)",11101
682,-73.949724,21st St,40.744065,"(-73.949724000000003, 40.744064999999999)",11101
683,-73.949724,21st St,40.744065,"(-73.949724000000003, 40.744064999999999)",11101
684,-73.949724,21st St,40.744065,"(-73.949724000000003, 40.744064999999999)",11101
1105,-73.93099699999999,Rawson St-33rd St,40.744587,"(-73.930996999999991, 40.744587000000003)",11101
1106,-73.93099699999999,Rawson St-33rd St,40.744587,"(-73.930996999999991, 40.744587000000003)",11101
1107,-73.93099699999999,Rawson St-33rd St,40.744587,"(-73.930996999999991, 40.744587000000003)",11101
1108,-73.93099699999999,Rawson St-33rd St,40.744587,"(-73.930996999999991, 40.744587000000003)",11101
1109,-73.940202,Queensboro Plaza,40.750582,"(-73.940201999999999, 40.750582000000001)",11101
1110,-73.940202,Queensboro Plaza,40.750582,"(-73.940201999999999, 40.750582000000001)",11101
1111,-73.945264,45 Rd-Court House Sq,40.747023,"(-73.945263999999995, 40.747022999999999)",11101
1112,-73.945264,45 Rd-Court House Sq,40.747023,"(-73.945263999999995, 40.747022999999999)",11101
1113,-73.945264,45 Rd-Court House Sq,40.747023,"(-73.945263999999995, 40.747022999999999)",11101
1114,-73.948916,Hunters Point,40.742216,"(-73.948915999999997, 40.742215999999999)",11101
1115,-73.948916,Hunters Point,40.742216,"(-73.948915999999997, 40.742215999999999)",11101
1116,-73.948916,Hunters Point,40.742216,"(-73.948915999999997, 40.742215999999999)",11101
1117,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1118,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1484,-73.928781,36th St,40.752039,"(-73.928781000000001, 40.752039000000003)",11101
1485,-73.928781,36th St,40.752039,"(-73.928781000000001, 40.752039000000003)",11101
1486,-73.928781,36th St,40.752039,"(-73.928781000000001, 40.752039000000003)",11101
1487,-73.93724300000001,Queens Plaza,40.748973,"(-73.937243000000009, 40.748972999999999)",11101
1488,-73.93724300000001,Queens Plaza,40.748973,"(-73.937243000000009, 40.748972999999999)",11101
1489,-73.946,23rd St-Ely Av,40.747846,"(-73.945999999999998, 40.747846000000003)",11101
1722,-73.93099699999999,Rawson St-33rd St,40.744587,"(-73.930996999999991, 40.744587000000003)",11101
1723,-73.93099699999999,Rawson St-33rd St,40.744587,"(-73.930996999999991, 40.744587000000003)",11101
1724,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1725,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1726,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1727,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1788,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1789,-73.953581,Vernon Blvd-Jackson Av,40.742626,"(-73.953581, 40.742626000000001)",11101
1851,-73.943832,Long Island City-Court Square,40.746553999999996,"(-73.943832, 40.746553999999996)",11101
1852,-73.943832,Long Island City-Court Square,40.746553999999996,"(-73.943832, 40.746553999999996)",11101
20,-73.973347,5th Av,40.764811,"(-73.973347000000004, 40.764811000000002)",00083
21,-73.973347,5th Av,40.764811,"(-73.973347000000004, 40.764811000000002)",00083
22,-73.973347,5th Av,40.764811,"(-73.973347000000004, 40.764811000000002)",00083
23,-73.973347,5th Av,40.764811,"(-73.973347000000004, 40.764811000000002)",00083
309,-73.961454,103rd St,40.796092,"(-73.961454000000003, 40.796092000000002)",00083
311,-73.96891600000001,86th St,40.785868,"(-73.968916000000007, 40.785868000000001)",00083
312,-73.96891600000001,86th St,40.785868,"(-73.968916000000007, 40.785868000000001)",00083
313,-73.96891600000001,86th St,40.785868,"(-73.968916000000007, 40.785868000000001)",00083
314,-73.972143,81st St - Museum of Natural History,40.781433,"(-73.972143000000003, 40.781433)",00083
315,-73.972143,81st St - Museum of Natural History,40.781433,"(-73.972143000000003, 40.781433)",00083
316,-73.97641,72nd St,40.775594,"(-73.976410000000001, 40.775593999999998)",00083
317,-73.97641,72nd St,40.775594,"(-73.976410000000001, 40.775593999999998)",00083
1128,-73.973347,5th Av,40.764811,"(-73.973347000000004, 40.764811000000002)",00083
1129,-73.973347,5th Av,40.764811,"(-73.973347000000004, 40.764811000000002)",00083
1130,-73.973347,5th Av,40.764811,"(-73.973347000000004, 40.764811000000002)",00083
1299,-73.96891600000001,86th St,40.785868,"(-73.968916000000007, 40.785868000000001)",00083
1300,-73.96891600000001,86th St,40.785868,"(-73.968916000000007, 40.785868000000001)",00083
1301,-73.972143,81st St - Museum of Natural History,40.781433,"(-73.972143000000003, 40.781433)",00083
1302,-73.972143,81st St - Museum of Natural History,40.781433,"(-73.972143000000003, 40.781433)",00083
1303,-73.97641,72nd St,40.775594,"(-73.976410000000001, 40.775593999999998)",00083
24,-73.98065799999999,57th St,40.764664,"(-73.980657999999991, 40.764664000000003)",10019
25,-73.98065799999999,57th St,40.764664,"(-73.980657999999991, 40.764664000000003)",10019
26,-73.98065799999999,57th St,40.764664,"(-73.980657999999991, 40.764664000000003)",10019
27,-73.98065799999999,57th St,40.764664,"(-73.980657999999991, 40.764664000000003)",10019
28,-73.984139,49th St,40.759901,"(-73.984138999999999, 40.759900999999999)",10019
29,-73.984139,49th St,40.759901,"(-73.984138999999999, 40.759900999999999)",10019
328,-73.985984,50th St,40.762456,"(-73.985984000000002, 40.762456)",10019
329,-73.985984,50th St,40.762456,"(-73.985984000000002, 40.762456)",10019
330,-73.985984,50th St,40.762456,"(-73.985984000000002, 40.762456)",10019
331,-73.985984,50th St,40.762456,"(-73.985984000000002, 40.762456)",10019
332,-73.985984,50th St,40.762456,"(-73.985984000000002, 40.762456)",10019
333,-73.985984,50th St,40.762456,"(-73.985984000000002, 40.762456)",10019
334,-73.985984,50th St,40.762456,"(-73.985984000000002, 40.762456)",10019
508,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
509,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
510,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
511,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
512,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
513,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
514,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
515,-73.97745,57th St,40.763971999999995,"(-73.977450000000005, 40.763971999999995)",10019
516,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
517,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
518,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
519,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
520,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
521,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
522,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
523,-73.981329,47-50th Sts Rockefeller Center,40.758663,"(-73.981329000000002, 40.758662999999999)",10019
665,-73.981637,7th Av,40.762862,"(-73.981637000000006, 40.762861999999998)",10019
666,-73.981637,7th Av,40.762862,"(-73.981637000000006, 40.762861999999998)",10019
